#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
128.83,50,33.111901
134.94,50,33.132899
131.18,50,33.153901
135.61,50,33.175066
127.13,50,33.196211
129.78,50,33.217211
135.74,50,33.237724
135.38,50,33.259724
137.03,50,33.280884
126.76,50,33.301514
139.05,50,33.322916
129.38,50,33.343915
134.66,50,33.364913
130.15,50,33.385914
127.97,50,34.154819
130.8,50,34.17347
133.15,50,34.191477
131.21,50,34.210112
140.69,50,34.226884
137.62,50,34.245884
131.57,50,34.269505
129.53,50,34.290485
136.809999,50,34.311485
137.32,50,34.332484
135.77,50,34.351485
130.29,50,34.372484
137.15,50,34.393487
143.08,50,34.414484
129.13,50,34.435485
139.25,50,34.456486
127.48,50,34.476485
134.31,50,34.496485
132.79,50,34.518807
125.91,50,34.539885
129.49,50,34.560884
132.14,50,34.580883
127.23,50,34.601883
125.78,50,34.622884
132.95,50,34.644884
137.52,50,34.665884
141.51,50,34.686884
132.06,50,34.707884
136.76,50,34.729111
130.55,50,34.748974
128.66,50,34.766575
129.4,50,34.783587
139.83,50,34.802953
132.61,50,34.821131
125.79,50,34.838346
140.54,50,34.857741
136.08,50,34.875328
138.28,50,34.893878
141.75,50,34.910317
134.47,50,34.92967
134.68,50,34.946865
138.76,50,35.712005
133.8,50,35.735008
127.61,50,35.75501
138.49,50,35.776171
129.81,50,35.796204
130.49,50,35.817858
138.53,50,35.838859
133.13,50,35.859859
137.95,50,35.88086
143.88,50,35.90186
131.06,50,35.922858
129.08,50,35.943859
135.17,50,35.963858
135.78,50,35.985469
132.51,50,36.005721
132.4,50,36.026725
137.49,50,36.048726
143.88,50,36.069727
135.33,50,36.090725
136.75,50,36.111725
140.77,50,36.132725
130.89,50,36.152727
136.64,50,36.173133
136.94,50,36.193136
143.04,50,36.214132
134.36,50,36.23593
140.78,50,36.25793
139.82,50,36.27793
134.17,50,36.298929
142.23,50,36.318935
140.69,50,36.339932
128.26,50,36.36093
134.84,50,36.382096
135.85,50,36.404096
139.38,50,36.425097
137.93,50,36.445436
126.53,50,36.465732
143.25,50,36.486872
133.32,50,36.507872
134.07,50,36.52917
135.95,50,36.552892
138.33,50,37.285142
144.76,50,37.305144
134.95,50,37.324482
150.23,50,37.343572
147.9,50,37.362571
146.7,50,37.38157
142.78,50,37.401396
140.88,50,37.420396
130.07,50,37.439325
136.91,50,37.458514
140.5,50,37.477523
140.53,50,37.497277
138.39,50,37.516277
142.85,50,37.53516
133.27,50,37.554902
138.91,50,37.573951
140.64,50,37.592953
138.23,50,37.613974
141.15,50,37.633122
140.04,50,37.652429
144.76,50,37.671429
141.58,50,37.690431
137.85,50,37.709713
139.68,50,37.729617
141.49,50,37.749617
141.25,50,37.768651
128.98,50,37.787616
141.38,50,37.806619
138.11,50,37.826038
137.12,50,37.846148
134.18,50,37.865152
140.66,50,37.884175
140.19,50,37.904659
140.55,50,37.923184
135.489999,50,37.942822
132.37,50,37.961823
141.17,50,37.981341
140.92,50,38.000482
141.77,50,38.020033
146.26,50,38.038449
142.23,50,38.058408
139.62,50,38.776143
133.24,50,38.795142
143.03,50,38.815144
147.98,50,38.833808
141.85,50,38.852808
147.73,50,38.873725
136.29,50,38.892591
146.629999,50,38.911703
140.8,50,38.931256
147.63,50,38.949776
133.16,50,38.969184
148.04,50,38.988101
148.55,50,39.006981
140.1,50,39.026696
155.03,50,39.045696
146.98,50,39.065078
140.44,50,39.083662
145.81,50,39.102797
145.51,50,39.122594
141.56,50,39.143564
138.26,50,39.161803
149.53,50,39.180803
142.19,50,39.200119
135.04,50,39.218837
140.04,50,39.237837
143.41,50,39.257118
143.5,50,39.276121
139.85,50,39.29512
148.93,50,39.314631
140.41,50,39.333512
141.66,50,39.352684
145.09,50,39.371308
142.439999,50,39.391223
139.68,50,39.410221
143.16,50,39.429222
147.66,50,39.448222
138.17,50,39.467398
147.3,50,39.486617
135.21,50,39.505454
137.72,50,39.524904
146.88,50,39.543196
148.73,50,40.287272
131.79,50,40.307669
148.589999,50,40.33224
148.99,50,40.353265
148.579999,50,40.374265
145.14,50,40.395266
154.01,50,40.415289
152.78,50,40.435264
145.04,50,40.455277
140.03,50,40.47551
140.72,50,40.49551
139.36,50,40.51551
137.16,50,40.535713
145.28,50,40.555713
146.099999,50,40.574711
150.88,50,40.595013
145.11,50,40.616637
144.91,50,40.642479
147.48,50,40.664479
154.41,50,40.686478
154.53,50,40.707479
142.9,50,40.728478
147.86,50,40.748479
141.64,50,40.77048
148.85,50,40.792034
146.35,50,40.813033
144.26,50,40.834032
141.84,50,40.855034
141.41,50,40.876033
153.88,50,40.898273
150.0,50,40.918272
149.18,50,40.940357
142.13,50,40.961129
136.04,50,40.982127
151.53,50,41.004127
151.14,50,41.02515
144.03,50,41.04715
151.88,50,41.067888
152.48,50,41.089121
149.26,50,41.110186
149.31,50,41.132186
153.39,50,41.883539
144.159999,50,41.90435
155.0,50,41.92428
152.18,50,41.944296
156.179999,50,41.965278
152.58,50,41.98597
149.98,50,42.009094
146.53,50,42.031096
150.63,50,42.053478
144.679999,50,42.075582
150.27,50,42.096771
149.959999,50,42.117772
144.93,50,42.138772
144.88,50,42.160771
152.28,50,42.181772
159.18,50,42.2028
157.03,50,42.224018
149.92,50,42.246231
150.37,50,42.266231
152.73,50,42.28758
153.97,50,42.30958
158.83,50,42.331559
145.69,50,42.35255
158.94,50,42.37355
155.41,50,42.395379
155.63,50,42.416971
153.03,50,42.438976
160.93,50,42.458968
154.08,50,42.480967
151.23,50,42.502975
147.52,50,42.523969
149.73,50,42.546968
152.75,50,42.566969
154.68,50,42.587968
155.04,50,42.6087
145.23,50,42.630823
149.98,50,42.651823
158.98,50,42.672824
146.39,50,42.694515
155.49,50,42.715515
155.63,50,42.737056
156.69,50,43.500545
163.85,50,43.520548
158.88,50,43.540547
159.81,50,43.560545
161.93,50,43.579546
151.91,50,43.600546
154.22,50,43.620546
155.08,50,43.641545
152.899999,50,43.660563
159.42,50,43.682801
148.3,50,43.7038
154.71,50,43.724827
148.3,50,43.745914
150.49,50,43.767307
152.86,50,43.788306
156.52,50,43.809306
148.88,50,43.83137
155.73,50,43.85234
156.46,50,43.8731
155.73,50,43.897218
162.66,50,43.920493
153.97,50,43.9429
152.44,50,43.966464
154.09,50,43.989461
164.49,50,44.011461
149.63,50,44.034071
153.33,50,44.056791
145.24,50,44.07879
160.36,50,44.100803
153.3,50,44.122803
152.68,50,44.14551
160.13,50,44.168343
147.05,50,44.192941
153.7,50,44.215945
164.25,50,44.238946
159.53,50,44.261989
155.55,50,44.28393
144.74,50,44.305177
148.74,50,44.325671
161.14,50,44.345316
149.13,50,44.365503
147.18,50,45.095112
158.46,50,45.114088
156.25,50,45.134091
156.78,50,45.152979
164.33,50,45.172552
159.02,50,45.191555
164.53,50,45.211196
161.33,50,45.230641
154.61,50,45.25038
158.39,50,45.269713
160.97,50,45.289762
163.03,50,45.308762
148.85,50,45.328472
155.56,50,45.347298
151.08,50,45.36729
154.13,50,45.386156
157.99,50,45.40572
149.7,50,45.424721
158.69,50,45.443721
152.81,50,45.463316
161.03,50,45.482316
156.08,50,45.501686
155.3,50,45.521015
161.54,50,45.540389
149.98,50,45.559091
154.89,50,45.578092
157.94,50,45.598228
161.03,50,45.616889
161.01,50,45.636584
160.53,50,45.65657
147.999999,50,45.675497
159.68,50,45.694307
151.5,50,45.713338
157.43,50,45.738305
162.08,50,45.763307
159.29,50,45.787306
163.38,50,45.812305
156.63,50,45.837307
160.78,50,45.861307
155.2,50,45.885306
155.58,50,45.906305
161.13,50,46.64754
154.15,50,46.666614
172.28,50,46.686648
160.43,50,46.705544
156.61,50,46.725544
162.58,50,46.74443
164.44,50,46.764428
158.88,50,46.783272
161.73,50,46.802319
164.89,50,46.822143
156.58,50,46.841143
160.36,50,46.860834
168.69,50,46.879835
164.58,50,46.899413
154.14,50,46.91867
163.68,50,46.937836
154.63,50,46.957851
164.57,50,46.976851
155.579999,50,46.996086
158.63,50,47.015122
164.79,50,47.034438
154.98,50,47.054191
163.18,50,47.07403
161.12,50,47.093034
154.36,50,47.112767
164.33,50,47.131767
163.19,50,47.150643
158.679999,50,47.170303
164.86,50,47.189297
159.38,50,47.208297
157.83,50,47.227297
154.38,50,47.247297
159.46,50,47.266181
159.13,50,47.286019
156.83,50,47.307202
160.73,50,47.326807
170.18,50,47.346941
164.43,50,47.365901
160.48,50,47.385376
164.39,50,47.404375
160.06,50,47.423946
170.18,50,48.172454
149.08,50,48.193453
160.53,50,48.215453
168.08,50,48.235714
165.21,50,48.258149
161.08,50,48.277148
161.23,50,48.297151
162.95,50,48.318186
168.69,50,48.339556
168.03,50,48.360918
166.98,50,48.381557
156.13,50,48.402388
162.04,50,48.422629
165.0,50,48.443166
167.68,50,48.464574
163.76,50,48.485574
167.1,50,48.506498
173.73,50,48.525113
166.73,50,48.543767
163.5,50,48.561386
157.28,50,48.580418
160.78,50,48.598608
159.63,50,48.61646
162.13,50,48.635015
170.88,50,48.654637
161.23,50,48.671636
158.08,50,48.68867
164.38,50,48.707062
162.79,50,48.725388
160.73,50,48.744395
162.93,50,48.762475
163.78,50,48.779852
168.94,50,48.797976
163.28,50,48.817919
154.97,50,48.837034
162.48,50,48.854623
167.95,50,48.87318
167.34,50,48.892179
167.98,50,48.911427
159.46,50,48.931947
168.53,50,48.952127
178.49,50,49.735873
165.08,50,49.756871
157.8,50,49.776943
166.03,50,49.797647
173.88,50,49.817648
166.18,50,49.838648
162.06,50,49.859685
170.33,50,49.879818
168.58,50,49.900817
166.03,50,49.92047
162.1,50,49.940827
170.13,50,49.960829
171.11,50,49.981827
174.78,50,50.001827
170.53,50,50.023298
167.98,50,50.043769
166.75,50,50.064252
166.08,50,50.085252
162.48,50,50.105381
166.37,50,50.127352
165.43,50,50.147353
162.38,50,50.168544
167.13,50,50.190142
165.89,50,50.211141
166.83,50,50.231139
166.23,50,50.25314
167.0,50,50.273141
170.28,50,50.292643
163.93,50,50.315267
164.02,50,50.337267
173.4,50,50.357268
164.38,50,50.378267
163.25,50,50.399267
172.96,50,50.421942
164.78,50,50.441942
160.2,50,50.463326
169.48,50,50.484163
159.68,50,50.504449
172.25,50,50.525837
170.83,50,50.54717
165.53,50,50.56764
160.08,50,51.347192
172.05,50,51.367094
167.33,50,51.388842
171.38,50,51.409846
171.63,50,51.430851
165.09,50,51.451851
170.68,50,51.472851
165.03,50,51.493257
150.93,50,51.514346
173.23,50,51.536346
167.18,50,51.556845
163.98,50,51.575896
170.8,50,51.597925
172.48,50,51.615212
161.58,50,51.633848
175.14,50,51.652247
165.83,50,51.671285
168.6,50,51.689892
172.34,50,51.709582
170.33,50,51.727786
167.53,50,51.747178
172.33,50,51.765198
171.08,50,51.784199
173.38,50,51.802199
167.13,50,51.820074
174.23,50,51.83716
173.33,50,51.856088
171.93,50,51.874718
168.23,50,51.892591
163.84,50,51.910331
174.23,50,51.927845
169.43,50,51.946251
165.78,50,51.97142
174.58,50,51.990251
170.03,50,52.009815
165.98,50,52.030018
167.43,50,52.048812
164.14,50,52.069414
170.38,50,52.088686
178.28,50,52.108887
165.08,50,52.128176
176.33,50,52.861566
174.88,50,52.88157
172.63,50,52.901229
174.26,50,52.922227
167.28,50,52.941227
172.51,50,52.961399
172.86,50,52.981807
172.43,50,53.001787
166.49,50,53.022047
177.93,50,53.042047
171.63,50,53.061047
170.73,50,53.080071
173.33,50,53.100438
166.0,50,53.120438
172.31,50,53.141438
174.15,50,53.160438
167.18,50,53.180118
167.78,50,53.200119
173.43,50,53.221119
171.87,50,53.241118
173.08,50,53.261117
166.95,50,53.280121
168.43,50,53.301119
174.93,50,53.321119
172.13,50,53.342119
169.33,50,53.362122
170.78,50,53.383118
179.83,50,53.402817
176.33,50,53.424863
170.68,50,53.444888
173.11,50,53.465185
165.71,50,53.486216
174.63,50,53.507199
175.74,50,53.526695
170.23,50,53.545847
171.99,50,53.565022
167.3,50,53.585025
177.33,50,53.606027
170.78,50,53.626025
167.63,50,53.645061
168.26,50,53.664026
172.33,50,54.452814
179.93,50,54.473813
179.68,50,54.494813
173.68,50,54.515813
169.92,50,54.536812
175.18,50,54.557815
169.53,50,54.580812
178.43,50,54.6024
172.66,50,54.624194
175.64,50,54.647193
173.48,50,54.670194
178.3,50,54.691193
167.98,50,54.713338
178.58,50,54.734355
171.23,50,54.756365
173.98,50,54.77794
171.98,50,54.79894
169.63,50,54.82096
178.28,50,54.84294
177.33,50,54.864963
173.08,50,54.88694
171.73,50,54.907675
177.18,50,54.930415
174.43,50,54.951669
175.95,50,54.97367
173.68,50,54.99367
168.08,50,55.015669
178.18,50,55.037669
182.4,50,55.059689
178.74,50,55.082349
182.13,50,55.104597
179.73,50,55.12725
171.28,50,55.150238
174.48,50,55.171238
179.53,50,55.193239
181.28,50,55.21526
171.68,50,55.236238
173.15,50,55.257644
174.56,50,55.280113
178.88,50,55.302112
175.75,50,55.323996
176.08,50,56.156767
172.0,50,56.177765
178.58,50,56.197765
170.15,50,56.218799
173.48,50,56.239766
174.53,50,56.258765
178.66,50,56.278769
175.98,50,56.298765
174.67,50,56.318765
179.98,50,56.339141
172.58,50,56.360147
176.83,50,56.381306
177.63,50,56.402708
173.98,50,56.423707
177.73,50,56.446709
173.83,50,56.468709
177.23,50,56.489706
174.73,50,56.511708
182.53,50,56.532707
171.24,50,56.553709
173.43,50,56.575706
177.23,50,56.596708
179.42,50,56.616705
179.93,50,56.638708
181.13,50,56.659743
179.28,50,56.680709
174.63,50,56.701708
179.88,50,56.722707
172.58,50,56.742708
172.33,50,56.764709
174.98,50,56.786705
180.73,50,56.806708
175.16,50,56.829707
168.23,50,56.849706
181.13,50,56.872707
176.23,50,56.893707
178.5,50,56.914707
176.03,50,56.936707
175.53,50,56.958739
173.38,50,56.979919
173.23,50,57.002603
177.73,50,57.790326
173.83,50,57.811324
181.08,50,57.832324
175.98,50,57.854323
177.44,50,57.873322
181.03,50,57.893322
170.98,50,57.912322
176.03,50,57.932617
181.18,50,57.952617
184.73,50,57.972735
178.58,50,57.993746
174.78,50,58.01474
182.38,50,58.03474
183.63,50,58.05374
181.08,50,58.073346
172.51,50,58.095358
178.93,50,58.116714
170.73,50,58.135926
178.4,50,58.156214
175.29,50,58.175494
177.43,50,58.195769
177.38,50,58.21577
177.08,50,58.237747
178.33,50,58.256726
168.93,50,58.276727
178.48,50,58.296951
176.43,50,58.317951
180.03,50,58.337182
174.53,50,58.358061
180.83,50,58.37708
174.13,50,58.399062
181.23,50,58.420062
181.28,50,58.441061
174.43,50,58.462576
179.98,50,58.482559
176.58,50,58.504739
179.34,50,58.52412
176.98,50,58.547299
181.28,50,58.56636
175.53,50,58.586359
178.83,50,58.606114
182.38,50,59.388875
179.63,50,59.407972
176.73,50,59.426225
181.28,50,59.446948
176.48,50,59.464971
180.93,50,59.484192
182.33,50,59.502658
177.63,50,59.524662
182.33,50,59.546214
173.93,50,59.566214
180.78,50,59.586694
176.36,50,59.606696
178.48,50,59.626259
180.63,50,59.645486
177.08,50,59.665486
178.66,50,59.685343
182.23,50,59.704277
183.98,50,59.725084
183.43,50,59.744083
177.76,50,59.763087
182.38,50,59.783435
178.68,50,59.804436
177.33,50,59.824435
182.48,50,59.844435
175.63,50,59.865436
181.18,50,59.885704
179.38,50,59.906305
180.18,50,59.930863
178.83,50,59.950557
182.53,50,59.970559
177.13,50,59.989557
177.55,50,60.009557
179.78,50,60.030847
177.73,50,60.050844
180.98,50,60.070256
180.13,50,60.092255
178.23,50,60.11726
178.3,50,60.141926
182.08,50,60.167808
175.84,50,60.195101
183.68,50,64.34547
181.28,50,64.605633
177.18,50,64.871345
182.23,50,65.127821
180.73,50,65.38681
182.63,50,65.642267
182.28,50,65.815665
181.03,50,65.842644
180.83,50,65.864214
183.53,50,65.881137
182.04,50,65.899243
178.33,50,65.916865
182.63,50,65.934978
177.38,50,65.95347
181.23,50,65.977118
181.23,50,65.997114
181.03,50,66.016112
176.23,50,66.036113
185.03,50,66.056113
177.63,50,66.074864
181.38,50,66.094868
180.78,50,66.113853
176.28,50,66.132849
174.58,50,66.152845
180.98,50,66.171932
183.73,50,66.191846
182.28,50,66.214014
181.23,50,66.233325
183.78,50,66.253302
181.03,50,66.272529
179.63,50,66.292923
179.43,50,66.31294
178.68,50,66.331922
183.43,50,66.351922
177.13,50,66.371922
181.43,50,66.39111
182.53,50,66.410353
178.34,50,66.429351
176.14,50,66.449351
182.38,50,66.468353
179.98,50,66.488284
181.93,50,67.225973
185.0,50,67.245913
176.03,50,67.266914
180.58,50,67.287727
180.03,50,67.30676
178.83,50,67.326726
178.66,50,67.345726
183.73,50,67.365112
179.64,50,67.38511
179.76,50,67.40411
178.68,50,67.42384
180.93,50,67.443888
181.13,50,67.462888
180.91,50,67.482887
182.08,50,67.502891
182.48,50,67.522191
181.13,50,67.541383
182.48,50,67.561387
180.93,50,67.581097
186.23,50,67.600096
179.98,50,67.620298
184.88,50,67.639229
182.23,50,67.65923
179.58,50,67.678229
178.68,50,67.697322
183.48,50,67.71656
178.48,50,67.737827
180.7,50,67.757826
177.03,50,67.77693
179.88,50,67.796147
182.48,50,67.816148
181.13,50,67.836147
177.48,50,67.855186
182.18,50,67.874415
181.33,50,67.894576
178.53,50,67.914414
178.38,50,67.934299
180.88,50,67.953359
184.88,50,67.973359
178.68,50,67.993359
181.28,50,68.01336
179.13,50,68.780613
179.43,50,68.801609
180.33,50,68.822625
181.18,50,68.843626
181.03,50,68.863626
179.68,50,68.883625
186.23,50,68.903625
183.68,50,68.924322
177.48,50,68.943323
178.73,50,68.963322
181.33,50,68.983322
179.5,50,69.002023
181.58,50,69.022348
182.43,50,69.041662
178.23,50,69.061662
181.03,50,69.081663
181.43,50,69.101662
181.38,50,69.121137
175.88,50,69.141132
183.88,50,69.160131
179.6,50,69.17995
173.83,50,69.199548
182.48,50,69.219546
176.28,50,69.243546
179.83,50,69.263252
179.83,50,69.282253
179.98,50,69.302252
182.53,50,69.322255
178.83,50,69.342253
178.78,50,69.362252
181.18,50,69.382253
184.78,50,69.401252
174.83,50,69.421253
173.58,50,69.441267
176.17,50,69.460252
179.48,50,69.480253
176.98,50,69.500252
184.88,50,69.520252
179.98,50,69.540253
182.63,50,69.560273
181.03,50,69.580253
179.68,50,70.437867
181.44,50,70.459865
180.83,50,70.480865
183.73,50,70.502866
183.48,50,70.524276
181.48,50,70.544299
181.28,50,70.565281
177.63,50,70.585277
178.83,50,70.604277
182.58,50,70.623868
181.18,50,70.643868
181.23,50,70.662868
180.83,50,70.681869
182.53,50,70.702597
179.63,50,70.72159
178.93,50,70.741591
178.53,50,70.763183
177.48,50,70.782949
181.23,50,70.80222
180.93,50,70.822224
180.98,50,70.841905
183.68,50,70.86191
177.18,50,70.88091
183.38,50,70.90091
180.98,50,70.919909
179.48,50,70.93991
177.23,50,70.959909
183.78,50,70.978909
182.43,50,70.998909
175.98,50,71.01891
179.73,50,71.039363
179.78,50,71.058361
183.45,50,71.078194
179.88,50,71.097217
182.38,50,71.11718
182.73,50,71.137178
183.38,50,71.157178
182.28,50,71.175766
184.98,50,71.194766
178.68,50,71.214767
180.93,50,71.234345
184.68,50,71.980413
176.56,50,72.000412
181.13,50,72.019846
185.08,50,72.041804
181.18,50,72.061836
179.71,50,72.080836
183.78,50,72.106807
182.23,50,72.129736
186.18,50,72.150145
183.68,50,72.169416
182.58,50,72.189417
181.38,50,72.208312
180.91,50,72.228239
182.13,50,72.248226
183.88,50,72.268204
186.18,50,72.29036
179.88,50,72.310359
182.23,50,72.33036
184.98,50,72.350506
178.43,50,72.369505
180.98,50,72.388506
183.53,50,72.408507
179.88,50,72.427506
181.28,50,72.447507
180.3,50,72.466753
184.88,50,72.486752
182.83,50,72.506752
178.38,50,72.526595
182.58,50,72.546921
183.68,50,72.567215
183.68,50,72.586215
183.98,50,72.606232
182.58,50,72.625216
183.68,50,72.645429
182.48,50,72.665369
184.78,50,72.685743
185.08,50,72.706743
183.38,50,72.725901
185.08,50,72.745886
183.58,50,72.765375
182.03,50,72.785387
183.88,50,73.544722
186.18,50,73.565073
186.23,50,73.585073
184.98,50,73.604074
185.03,50,73.624074
184.88,50,73.644464
182.48,50,73.664829
177.13,50,73.684831
180.13,50,73.704831
184.88,50,73.724788
183.73,50,73.745787
178.93,50,73.76438
177.18,50,73.787025
182.43,50,73.808038
182.28,50,73.828039
183.53,50,73.8483
182.63,50,73.869305
183.73,50,73.888304
177.88,50,73.907928
182.6,50,73.928928
180.83,50,73.947927
181.08,50,74.012162
181.23,50,74.09169
182.28,50,74.111032
186.23,50,74.130786
182.38,50,74.152411
182.38,50,74.171932
183.7,50,74.192313
178.33,50,74.211887
183.73,50,74.232887
184.98,50,74.253484
183.58,50,74.272806
183.63,50,74.291806
180.89,50,74.311805
182.43,50,74.332191
182.46,50,74.351725
181.03,50,74.372003
183.48,50,74.391002
186.23,50,74.411112
182.38,50,74.430111
182.33,50,74.450112
183.63,50,75.204278
181.33,50,75.225272
182.33,50,75.244272
182.63,50,75.264159
182.28,50,75.284159
186.23,50,75.30617
182.53,50,75.326494
183.83,50,75.345499
183.43,50,75.365493
183.78,50,75.385493
181.33,50,75.405494
184.93,50,75.425493
179.43,50,75.445496
186.23,50,75.465493
186.28,50,75.485493
182.03,50,75.505495
178.25,50,75.525494
183.93,50,75.545495
182.38,50,75.565495
184.98,50,75.586493
183.68,50,75.606494
182.63,50,75.626493
180.88,50,75.646495
181.33,50,75.666495
180.1,50,75.686494
183.78,50,75.706494
184.98,50,75.726495
186.18,50,75.74721
182.38,50,75.766093
183.83,50,75.786116
184.98,50,75.806396
183.43,50,75.825396
184.96,50,75.8454
184.83,50,75.864395
186.23,50,75.883925
182.63,50,75.904139
183.53,50,75.924156
183.33,50,75.944147
180.58,50,75.968271
186.28,50,75.991269
182.18,50,76.016269
185.13,50,76.781884
181.03,50,76.802886
182.28,50,76.824885
186.28,50,76.844884
183.68,50,76.864884
185.03,50,76.884888
184.88,50,76.903884
183.58,50,76.923884
184.93,50,76.943885
183.78,50,76.964885
183.83,50,76.984885
179.98,50,77.005885
186.28,50,77.025884
179.66,50,77.046469
186.18,50,77.06647
183.88,50,77.086176
182.06,50,77.108696
182.18,50,77.128696
183.68,50,77.147696
182.33,50,77.167648
183.98,50,77.187648
183.88,50,77.207649
186.18,50,77.227649
186.23,50,77.247648
185.08,50,77.267648
185.03,50,77.287648
186.23,50,77.307649
183.63,50,77.326649
183.63,50,77.347648
185.03,50,77.366648
180.73,50,77.386648
185.03,50,77.405648
181.43,50,77.42625
183.73,50,77.448218
181.18,50,77.468539
182.53,50,77.488542
182.18,50,77.508538
182.48,50,77.528538
184.88,50,77.548971
182.28,50,77.568975
182.13,50,77.588192
181.08,50,78.330549
183.73,50,78.351874
182.28,50,78.371874
184.88,50,78.392873
186.23,50,78.413203
184.93,50,78.432203
184.83,50,78.453204
182.53,50,78.473203
184.78,50,78.493203
185.03,50,78.513202
184.78,50,78.532202
186.23,50,78.552202
183.63,50,78.573203
186.28,50,78.593225
184.78,50,78.613225
186.28,50,78.634225
179.98,50,78.654225
186.18,50,78.675231
186.09,50,78.695227
186.28,50,78.716158
185.03,50,78.736158
183.73,50,78.754227
184.88,50,78.77285
184.93,50,78.790532
184.98,50,78.807532
184.98,50,78.826176
183.68,50,78.844391
183.43,50,78.862556
181.16,50,78.88109
185.03,50,78.899927
183.93,50,78.916978
183.73,50,78.936494
185.08,50,78.954075
186.18,50,78.975206
183.88,50,78.992821
178.73,50,79.011917
184.83,50,79.031966
182.53,50,79.04968
182.33,50,79.067636
184.98,50,79.086245
184.88,50,79.105692
186.23,50,79.87379
180.73,50,79.894789
186.23,50,79.914527
186.23,50,79.934793
182.43,50,79.955793
185.03,50,79.975794
182.23,50,79.996024
182.23,50,80.019226
186.28,50,80.039121
181.18,50,80.061679
182.48,50,80.081678
185.03,50,80.103696
184.83,50,80.123679
183.83,50,80.14268
184.98,50,80.162606
185.03,50,80.181281
184.98,50,80.201444
186.28,50,80.220632
182.33,50,80.242936
184.83,50,80.264254
181.18,50,80.284976
184.98,50,80.304375
184.93,50,80.322844
184.88,50,80.34122
183.83,50,80.360225
184.86,50,80.377963
185.08,50,80.397177
183.68,50,80.415251
186.28,50,80.434726
185.13,50,80.452314
184.98,50,80.471554
182.38,50,80.491328
183.73,50,80.508904
185.13,50,80.528305
182.33,50,80.546106
184.98,50,80.566159
184.82,50,80.58416
184.88,50,80.601257
186.23,50,80.619626
184.83,50,80.638752
185.03,50,80.657229
186.23,50,81.429091
182.21,50,81.449089
183.73,50,81.469089
183.43,50,81.487988
184.88,50,81.507988
186.28,50,81.528243
186.23,50,81.549708
182.48,50,81.569127
182.63,50,81.590138
186.28,50,81.611238
182.38,50,81.631239
186.28,50,81.650238
183.83,50,81.670058
183.78,50,81.691934
183.73,50,81.710934
186.28,50,81.73136
186.28,50,81.750725
185.13,50,81.771725
184.96,50,81.792099
186.28,50,81.811099
182.03,50,81.830689
186.28,50,81.850694
183.63,50,81.870775
186.18,50,81.890774
186.18,50,81.910777
186.23,50,81.931274
185.03,50,81.951816
183.43,50,81.972817
186.28,50,81.991308
185.08,50,82.009849
186.28,50,82.028768
183.48,50,82.051769
183.53,50,82.071678
183.83,50,82.091694
184.93,50,82.109556
186.28,50,82.128555
182.38,50,82.146127
182.63,50,82.164604
186.28,50,82.184603
183.63,50,82.202297
185.03,50,82.219813
183.83,50,82.96537
183.38,50,82.985373
183.5,50,83.005351
186.28,50,83.024955
184.83,50,83.043955
185.08,50,83.06539
186.28,50,83.085394
186.28,50,83.104999
185.08,50,83.125
184.98,50,83.145
185.08,50,83.163999
184.93,50,83.184999
184.88,50,83.204
185.03,50,83.224999
186.23,50,83.243999
182.23,50,83.264
183.88,50,83.284014
186.28,50,83.303998
186.28,50,83.324015
183.63,50,83.343014
186.28,50,83.362271
186.28,50,83.380454
186.23,50,83.398557
186.23,50,83.41959
184.83,50,83.437594
186.28,50,83.455383
183.88,50,83.473161
185.08,50,83.492159
186.23,50,83.510295
181.08,50,83.52981
185.08,50,83.54888
180.98,50,83.566883
186.28,50,83.585764
185.08,50,83.602907
186.23,50,83.621426
183.48,50,83.641268
183.68,50,83.660363
186.28,50,83.676541
183.38,50,83.69699
186.21,50,83.715803
182.63,50,83.735336
184.88,50,84.486688
186.28,50,84.507745
186.23,50,84.527743
183.63,50,84.548744
186.28,50,84.567743
183.68,50,84.588744
184.83,50,84.608743
183.63,50,84.629201
185.03,50,84.64739
185.03,50,84.666974
186.23,50,84.685453
186.28,50,84.704382
183.83,50,84.721381
185.08,50,84.739946
186.23,50,84.759616
183.68,50,84.778049
182.38,50,84.797502
186.23,50,84.817611
185.05,50,84.835546
185.08,50,84.854606
183.73,50,84.874097
182.43,50,84.89211
182.2,50,84.911024
183.68,50,84.931447
183.78,50,84.949745
185.03,50,84.968749
186.28,50,84.989098
185.13,50,85.008705
183.33,50,85.025859
186.28,50,85.047418
186.28,50,85.064417
186.28,50,85.082538
186.23,50,85.102105
185.03,50,85.120066
184.83,50,85.138549
183.48,50,85.157546
185.13,50,85.178952
183.78,50,85.196898
182.58,50,85.213897
184.88,50,85.232301
186.28,50,85.25213
186.23,50,85.991644
185.08,50,86.012241
186.28,50,86.032542
183.49,50,86.052544
186.28,50,86.073541
186.23,50,86.092544
186.28,50,86.113541
184.79,50,86.133088
186.28,50,86.152175
184.88,50,86.172174
184.98,50,86.193174
186.23,50,86.212191
183.83,50,86.231189
184.98,50,86.249346
184.73,50,86.26849
185.03,50,86.287537
185.08,50,86.306396
184.88,50,86.32477
183.53,50,86.344194
186.28,50,86.368197
185.03,50,86.387736
184.88,50,86.407442
186.28,50,86.426442
184.98,50,86.445442
183.53,50,86.464415
