#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
31.17,18,4.220424
53.14,33,4.233424
86.24,50,4.252424
82.43,50,4.271318
27.6,17,4.278318
91.85,50,4.297335
2.46,2,4.298335
75.11,44,4.315212
19.01,12,4.320603
88.41,50,4.339603
37.7,20,4.347604
11.81,8,4.350602
29.0,17,4.356604
61.7,36,4.370605
88.1,50,4.389803
88.93,50,4.409808
13.18,9,4.412807
17.52,10,4.416806
18.21,11,4.420821
16.83,10,4.424806
9.12,6,4.427807
38.98,22,4.435663
34.65,19,4.442867
10.92,7,4.445866
9.79,6,4.448869
59.64,32,4.460988
1.16,1,4.460988
2.4,2,4.461988
39.2,26,4.471988
7.36,4,4.472987
18.18,10,4.476988
76.66,49,4.49674
23.7,15,4.503748
15.63,9,4.506744
42.11,25,4.517452
25.28,14,4.523451
34.33,18,4.529453
7.42,5,4.531489
14.06,9,4.535451
85.79,50,4.553822
6.74,4,4.555159
88.95,50,4.574117
23.92,15,4.580129
15.31,9,4.584112
24.38,14,4.589113
17.49,11,4.593112
7.33,4,4.595114
47.1,25,4.604113
39.06,23,4.613114
27.88,17,4.620114
24.55,16,4.626114
26.38,15,4.632113
81.56,47,4.650597
3.17,2,4.651598
40.41,25,4.660598
85.51,50,4.679562
54.34,32,4.692561
73.43,42,4.708561
23.01,13,4.713563
90.83,50,5.443059
89.51,50,5.463059
9.03,5,5.465059
89.41,50,5.484312
0.95,1,5.484312
72.03,41,5.500319
21.6,13,5.505318
86.04,50,5.525318
31.96,16,5.531318
91.77,50,5.551318
74.02,44,5.568458
21.35,13,5.573289
19.15,12,5.578276
20.07,12,5.58228
57.45,35,5.596281
23.97,13,5.601279
19.86,12,5.60528
92.18,50,5.62528
90.84,50,5.644477
62.76,36,5.658133
6.17,4,5.659133
21.46,13,5.665134
19.4,11,5.669133
39.36,24,5.678134
32.9,20,5.686133
88.59,50,5.705024
85.5,50,5.724022
88.7,50,5.744314
48.01,28,5.755304
55.71,31,5.767303
12.16,7,5.769303
85.05,50,5.788832
8.25,5,5.791404
19.16,11,5.795404
23.85,13,5.800404
5.96,4,5.802404
91.72,50,5.821705
38.66,23,5.830344
8.66,5,5.832343
13.36,8,5.835344
56.49,34,5.848356
29.82,18,5.855342
15.65,10,5.859317
2.66,2,5.859317
29.12,16,5.866322
27.66,16,5.872322
23.03,12,5.876322
67.6,40,5.89132
92.29,50,5.910321
22.81,14,5.916393
45.45,26,5.925877
22.35,13,5.930916
37.44,22,5.939212
91.65,50,5.958401
4.82,3,5.959402
85.64,50,5.978402
1.16,1,5.978402
21.4,13,5.983401
89.29,50,6.002959
0.95,1,6.002959
9.1,6,6.005959
24.9,13,6.00996
60.17,36,6.024275
23.71,13,6.029273
1.04,1,6.029273
13.56,7,6.032274
88.6,48,6.050431
3.35,3,6.051454
53.5,30,6.063432
91.48,50,6.081979
89.57,50,6.100973
96.19,50,6.120977
61.46,33,6.133663
75.12,43,6.14985
16.06,9,6.152842
84.58,50,6.171709
22.76,15,6.177535
85.25,48,6.195531
37.72,21,6.203532
20.29,13,6.208532
57.02,29,6.219533
9.8,6,6.922361
89.08,50,6.941345
93.3,50,6.960347
33.9,20,6.968861
46.11,26,6.979039
65.16,37,6.992466
93.47,50,7.011488
53.2,30,7.023004
9.3,6,7.026003
94.04,50,7.044369
55.26,30,7.056368
65.48,35,7.069369
31.66,19,7.07637
2.57,2,7.077371
30.11,17,7.08437
89.76,50,7.103017
81.4,46,7.121018
93.49,50,7.139612
32.53,19,7.147615
91.64,50,7.165956
32.27,18,7.173466
71.88,38,7.187466
95.26,50,7.206347
95.45,50,7.225772
87.38,50,7.244285
58.14,33,7.25729
29.91,16,7.263285
16.01,9,7.266286
35.27,21,7.275285
94.76,50,7.293656
92.38,50,7.312662
93.36,50,7.3323
94.5,50,7.351092
22.82,13,7.356091
41.8,24,7.365091
34.46,19,7.372091
92.28,50,7.391091
27.71,17,7.39809
85.53,50,7.416273
10.61,6,7.418551
45.35,27,7.429556
58.8,32,7.441555
